file_base,label,split
metal__metal.00062,metal,train
blues__blues.00064,blues,train
classical__classical.00029,classical,train
country__country.00084,country,train
metal__metal.00005,metal,train
blues__blues.00013,blues,train
jazz__jazz.00029,jazz,train
jazz__jazz.00023,jazz,train
classical__classical.00047,classical,train
classical__classical.00011,classical,train
classical__classical.00020,classical,train
country__country.00017,country,train
metal__metal.00047,metal,train
disco__disco.00063,disco,train
hiphop__hiphop.00043,hiphop,train
blues__blues.00031,blues,train
hiphop__hiphop.00071,hiphop,train
rock__rock.00031,rock,train
jazz__jazz.00066,jazz,train
pop__pop.00015,pop,train
reggae__reggae.00062,reggae,train
jazz__jazz.00099,jazz,train
pop__pop.00087,pop,train
classical__classical.00086,classical,train
metal__metal.00073,metal,train
metal__metal.00012,metal,train
classical__classical.00064,classical,train
classical__classical.00071,classical,train
reggae__reggae.00056,reggae,train
pop__pop.00045,pop,train
metal__metal.00010,metal,train
classical__classical.00089,classical,train
reggae__reggae.00076,reggae,train
rock__rock.00019,rock,train
rock__rock.00014,rock,train
reggae__reggae.00029,reggae,train
disco__disco.00009,disco,train
disco__disco.00089,disco,train
blues__blues.00002,blues,train
hiphop__hiphop.00026,hiphop,train
disco__disco.00066,disco,train
rock__rock.00079,rock,train
hiphop__hiphop.00032,hiphop,train
disco__disco.00024,disco,train
pop__pop.00096,pop,train
reggae__reggae.00072,reggae,train
blues__blues.00038,blues,train
reggae__reggae.00025,reggae,train
reggae__reggae.00039,reggae,train
country__country.00042,country,train
metal__metal.00043,metal,train
rock__rock.00092,rock,train
classical__classical.00043,classical,train
jazz__jazz.00061,jazz,train
country__country.00048,country,train
hiphop__hiphop.00081,hiphop,train
metal__metal.00072,metal,train
disco__disco.00079,disco,train
disco__disco.00047,disco,train
classical__classical.00062,classical,train
hiphop__hiphop.00096,hiphop,train
blues__blues.00065,blues,train
jazz__jazz.00084,jazz,train
disco__disco.00038,disco,train
jazz__jazz.00039,jazz,train
reggae__reggae.00073,reggae,train
reggae__reggae.00020,reggae,train
metal__metal.00036,metal,train
country__country.00065,country,train
country__country.00062,country,train
classical__classical.00078,classical,train
rock__rock.00061,rock,train
metal__metal.00053,metal,train
rock__rock.00083,rock,train
country__country.00020,country,train
rock__rock.00017,rock,train
reggae__reggae.00090,reggae,train
metal__metal.00082,metal,train
blues__blues.00019,blues,train
blues__blues.00063,blues,train
jazz__jazz.00096,jazz,train
classical__classical.00008,classical,train
disco__disco.00061,disco,train
metal__metal.00061,metal,train
jazz__jazz.00041,jazz,train
hiphop__hiphop.00065,hiphop,train
metal__metal.00034,metal,train
country__country.00010,country,train
blues__blues.00008,blues,train
reggae__reggae.00038,reggae,train
country__country.00082,country,train
jazz__jazz.00030,jazz,train
reggae__reggae.00008,reggae,train
rock__rock.00072,rock,train
country__country.00098,country,train
reggae__reggae.00092,reggae,train
pop__pop.00055,pop,train
country__country.00088,country,train
disco__disco.00067,disco,train
hiphop__hiphop.00016,hiphop,train
pop__pop.00066,pop,train
hiphop__hiphop.00013,hiphop,train
country__country.00068,country,train
metal__metal.00031,metal,train
metal__metal.00042,metal,train
hiphop__hiphop.00040,hiphop,train
classical__classical.00056,classical,train
hiphop__hiphop.00038,hiphop,train
classical__classical.00090,classical,train
blues__blues.00042,blues,train
metal__metal.00064,metal,train
country__country.00033,country,train
blues__blues.00032,blues,train
disco__disco.00005,disco,train
country__country.00083,country,train
country__country.00046,country,train
metal__metal.00081,metal,train
country__country.00035,country,train
rock__rock.00075,rock,train
pop__pop.00012,pop,train
reggae__reggae.00023,reggae,train
hiphop__hiphop.00080,hiphop,train
jazz__jazz.00042,jazz,train
metal__metal.00060,metal,train
pop__pop.00033,pop,train
jazz__jazz.00070,jazz,train
rock__rock.00048,rock,train
disco__disco.00093,disco,train
classical__classical.00076,classical,train
hiphop__hiphop.00066,hiphop,train
jazz__jazz.00021,jazz,train
country__country.00060,country,train
rock__rock.00054,rock,train
hiphop__hiphop.00012,hiphop,train
jazz__jazz.00049,jazz,train
hiphop__hiphop.00024,hiphop,train
rock__rock.00012,rock,train
country__country.00099,country,train
pop__pop.00046,pop,train
pop__pop.00044,pop,train
jazz__jazz.00035,jazz,train
jazz__jazz.00038,jazz,train
disco__disco.00010,disco,train
rock__rock.00097,rock,train
metal__metal.00086,metal,train
blues__blues.00011,blues,train
blues__blues.00037,blues,train
jazz__jazz.00057,jazz,train
classical__classical.00009,classical,train
classical__classical.00045,classical,train
classical__classical.00024,classical,train
rock__rock.00050,rock,train
hiphop__hiphop.00023,hiphop,train
metal__metal.00049,metal,train
country__country.00009,country,train
classical__classical.00082,classical,train
country__country.00006,country,train
jazz__jazz.00015,jazz,train
hiphop__hiphop.00008,hiphop,train
hiphop__hiphop.00069,hiphop,train
hiphop__hiphop.00049,hiphop,train
reggae__reggae.00066,reggae,train
classical__classical.00010,classical,train
pop__pop.00079,pop,train
pop__pop.00069,pop,train
blues__blues.00061,blues,train
blues__blues.00024,blues,train
disco__disco.00008,disco,train
disco__disco.00014,disco,train
reggae__reggae.00084,reggae,train
rock__rock.00044,rock,train
classical__classical.00033,classical,train
hiphop__hiphop.00082,hiphop,train
blues__blues.00085,blues,train
pop__pop.00056,pop,train
reggae__reggae.00005,reggae,train
pop__pop.00057,pop,train
reggae__reggae.00044,reggae,train
country__country.00056,country,train
rock__rock.00022,rock,train
country__country.00074,country,train
rock__rock.00040,rock,train
metal__metal.00039,metal,train
metal__metal.00019,metal,train
country__country.00026,country,train
disco__disco.00022,disco,train
reggae__reggae.00016,reggae,train
jazz__jazz.00083,jazz,train
classical__classical.00073,classical,train
rock__rock.00087,rock,train
reggae__reggae.00093,reggae,train
country__country.00076,country,train
jazz__jazz.00048,jazz,train
disco__disco.00011,disco,train
metal__metal.00015,metal,train
rock__rock.00013,rock,train
blues__blues.00072,blues,train
metal__metal.00079,metal,train
jazz__jazz.00092,jazz,train
rock__rock.00009,rock,train
country__country.00087,country,train
jazz__jazz.00088,jazz,train
pop__pop.00022,pop,train
country__country.00049,country,train
blues__blues.00096,blues,train
classical__classical.00019,classical,train
rock__rock.00035,rock,train
rock__rock.00065,rock,train
classical__classical.00057,classical,train
classical__classical.00001,classical,train
pop__pop.00040,pop,train
blues__blues.00098,blues,train
jazz__jazz.00091,jazz,train
pop__pop.00009,pop,train
reggae__reggae.00080,reggae,train
disco__disco.00095,disco,train
rock__rock.00016,rock,train
jazz__jazz.00000,jazz,train
classical__classical.00048,classical,train
blues__blues.00039,blues,train
reggae__reggae.00002,reggae,train
classical__classical.00084,classical,train
rock__rock.00026,rock,train
rock__rock.00098,rock,train
classical__classical.00074,classical,train
jazz__jazz.00065,jazz,train
blues__blues.00025,blues,train
country__country.00090,country,train
disco__disco.00048,disco,train
disco__disco.00088,disco,train
rock__rock.00039,rock,train
hiphop__hiphop.00009,hiphop,train
pop__pop.00081,pop,train
reggae__reggae.00065,reggae,train
disco__disco.00045,disco,train
metal__metal.00038,metal,train
pop__pop.00021,pop,train
pop__pop.00051,pop,train
rock__rock.00062,rock,train
metal__metal.00001,metal,train
jazz__jazz.00004,jazz,train
hiphop__hiphop.00072,hiphop,train
disco__disco.00031,disco,train
hiphop__hiphop.00002,hiphop,train
pop__pop.00088,pop,train
classical__classical.00061,classical,train
rock__rock.00064,rock,train
jazz__jazz.00054,jazz,train
reggae__reggae.00018,reggae,train
hiphop__hiphop.00061,hiphop,train
rock__rock.00074,rock,train
hiphop__hiphop.00003,hiphop,train
hiphop__hiphop.00091,hiphop,train
pop__pop.00070,pop,train
reggae__reggae.00047,reggae,train
country__country.00070,country,train
blues__blues.00028,blues,train
country__country.00071,country,train
reggae__reggae.00021,reggae,train
disco__disco.00052,disco,train
blues__blues.00070,blues,train
disco__disco.00023,disco,train
metal__metal.00032,metal,train
classical__classical.00021,classical,train
pop__pop.00097,pop,train
rock__rock.00001,rock,train
reggae__reggae.00097,reggae,train
classical__classical.00016,classical,train
blues__blues.00010,blues,train
pop__pop.00093,pop,train
classical__classical.00022,classical,train
classical__classical.00044,classical,train
pop__pop.00006,pop,train
country__country.00059,country,train
rock__rock.00094,rock,train
jazz__jazz.00063,jazz,train
hiphop__hiphop.00099,hiphop,train
reggae__reggae.00028,reggae,train
disco__disco.00092,disco,train
country__country.00013,country,train
jazz__jazz.00005,jazz,train
blues__blues.00067,blues,train
jazz__jazz.00006,jazz,train
country__country.00045,country,train
jazz__jazz.00079,jazz,train
pop__pop.00047,pop,train
metal__metal.00002,metal,train
reggae__reggae.00082,reggae,train
classical__classical.00036,classical,train
reggae__reggae.00040,reggae,train
blues__blues.00012,blues,train
blues__blues.00083,blues,train
metal__metal.00097,metal,train
hiphop__hiphop.00088,hiphop,train
blues__blues.00089,blues,train
country__country.00051,country,train
pop__pop.00086,pop,train
disco__disco.00016,disco,train
blues__blues.00009,blues,train
pop__pop.00014,pop,train
disco__disco.00064,disco,train
classical__classical.00025,classical,train
reggae__reggae.00051,reggae,train
reggae__reggae.00068,reggae,train
rock__rock.00046,rock,train
jazz__jazz.00032,jazz,train
hiphop__hiphop.00010,hiphop,train
metal__metal.00046,metal,train
reggae__reggae.00095,reggae,train
metal__metal.00040,metal,train
pop__pop.00082,pop,train
rock__rock.00076,rock,train
disco__disco.00076,disco,train
reggae__reggae.00052,reggae,train
jazz__jazz.00076,jazz,train
disco__disco.00083,disco,train
jazz__jazz.00052,jazz,train
hiphop__hiphop.00022,hiphop,train
jazz__jazz.00060,jazz,train
hiphop__hiphop.00042,hiphop,train
disco__disco.00002,disco,train
rock__rock.00093,rock,train
metal__metal.00017,metal,train
reggae__reggae.00046,reggae,train
jazz__jazz.00013,jazz,train
pop__pop.00023,pop,train
pop__pop.00052,pop,train
hiphop__hiphop.00001,hiphop,train
reggae__reggae.00089,reggae,train
blues__blues.00003,blues,train
metal__metal.00020,metal,train
rock__rock.00020,rock,train
disco__disco.00084,disco,train
classical__classical.00067,classical,train
classical__classical.00035,classical,train
classical__classical.00012,classical,train
disco__disco.00035,disco,train
blues__blues.00045,blues,train
jazz__jazz.00002,jazz,train
pop__pop.00037,pop,train
blues__blues.00078,blues,train
country__country.00063,country,train
metal__metal.00066,metal,train
